version,image,physical_signal,stage,pc,operation,protocol_mapping,confidence
2.02,Bixby_0202_260827_PICkit.hex,J10 exhaust-fan sensor,configure_counter,0x0264,OPTION_REG=0xBF selects unprescaled RA4/T0CKI high-to-low transitions for TMR0,CR05,high static; physical route and electrical levels not live-validated
2.02,Bixby_0202_260827_PICkit.hex,J9 feeder-wheel sensor,elapsed_tick_counter,0x01A4,"while RB1 feed-motor output is high, increment RAM 0x47:0x46 on each RB0 external interrupt",CR07,high static; RB0 tick engineering timebase not live-measured
2.02,Bixby_0202_260827_PICkit.hex,J10 exhaust-fan sensor,sample_latch,0x01B0,"every 30 RB0 external-interrupt ticks, copy TMR0 to RAM 0x34; overflow becomes 0xFF; clear TMR0",CR05,"high static; reported byte is a pulse count, not a proven RPM value"
2.02,Bixby_0202_260827_PICkit.hex,J9 feeder-wheel sensor,edge_detector,0x0B3A,"while RB1 is high, remember RD0 high and flag the following RD0 low transition",CR02 bit 4 / CR07,high static; physical polarity not live-validated
2.02,Bixby_0202_260827_PICkit.hex,J9 feeder-wheel sensor,period_latch,0x0CD0,"on the completed RD0 cycle, shift RAM 0x47:0x46 right once into 0x45:0x44, bound it, then reset timer and flags",CR07,high static; engineering unit unresolved
2.02,Bixby_0202_260827_PICkit.hex,J9 feeder-wheel sensor,protocol_scale,0x11E1,return the low byte of RAM 0x45:0x44 shifted right four places,CR07,high static transform; wrap/fault semantics unresolved
2.06,Bixby_02060021_Downloader.hex,J10 exhaust-fan sensor,configure_counter,0x0221,OPTION_REG=0xBF selects unprescaled RA4/T0CKI high-to-low transitions for TMR0,CR05,high static; physical route and electrical levels not live-validated
2.06,Bixby_02060021_Downloader.hex,J9 feeder-wheel sensor,elapsed_tick_counter,0x0171,"while RB1 feed-motor output is high, increment RAM 0x47:0x46 on each RB0 external interrupt",CR07,high static; RB0 tick engineering timebase not live-measured
2.06,Bixby_02060021_Downloader.hex,J10 exhaust-fan sensor,sample_latch,0x017D,"every 30 RB0 external-interrupt ticks, copy TMR0 to RAM 0x34; overflow becomes 0xFF; clear TMR0",CR05,"high static; reported byte is a pulse count, not a proven RPM value"
2.06,Bixby_02060021_Downloader.hex,J9 feeder-wheel sensor,edge_detector,0x08B6,"while RB1 is high, remember RD0 high and flag the following RD0 low transition",CR02 bit 4 / CR07,high static; physical polarity not live-validated
2.06,Bixby_02060021_Downloader.hex,J9 feeder-wheel sensor,period_latch,0x0B58,"on the completed RD0 cycle, copy RAM 0x47:0x46 to 0x45:0x44, bound it, then reset timer and flags",CR07,high static; engineering unit unresolved
2.06,Bixby_02060021_Downloader.hex,J9 feeder-wheel sensor,protocol_scale,0x11C1,return the low byte of RAM 0x45:0x44 shifted right four places,CR07,high static transform; wrap/fault semantics unresolved
2.70,Bixby_0270_070206.hex,J10 exhaust-fan sensor,configure_counter,0x01FF,OPTION_REG=0xBF selects unprescaled RA4/T0CKI high-to-low transitions for TMR0,CR05,high static; physical route and electrical levels not live-validated
2.70,Bixby_0270_070206.hex,J9 feeder-wheel sensor,elapsed_tick_counter,0x0155,"while RB1 feed-motor output is high, increment RAM 0x47:0x46 on each RB0 external interrupt",CR07,high static; RB0 tick engineering timebase not live-measured
2.70,Bixby_0270_070206.hex,J10 exhaust-fan sensor,sample_latch,0x0161,"every 30 RB0 external-interrupt ticks, copy TMR0 to RAM 0x34; overflow becomes 0xFF; clear TMR0",CR05,"high static; reported byte is a pulse count, not a proven RPM value"
2.70,Bixby_0270_070206.hex,J9 feeder-wheel sensor,edge_detector,0x083E,"while RB1 is high, remember RD0 high and flag the following RD0 low transition",CR02 bit 4 / CR07,high static; physical polarity not live-validated
2.70,Bixby_0270_070206.hex,J9 feeder-wheel sensor,period_latch,0x0BD7,"on the completed RD0 cycle, copy RAM 0x47:0x46 to 0x45:0x44, bound it, then reset timer and flags",CR07,high static; engineering unit unresolved
2.70,Bixby_0270_070206.hex,J9 feeder-wheel sensor,protocol_scale,0x12B2,return the low byte of RAM 0x45:0x44 shifted right four places,CR07,high static transform; wrap/fault semantics unresolved
2.71,Bixby_0271_080315.hex,J10 exhaust-fan sensor,configure_counter,0x01FF,OPTION_REG=0xBF selects unprescaled RA4/T0CKI high-to-low transitions for TMR0,CR05,high static; physical route and electrical levels not live-validated
2.71,Bixby_0271_080315.hex,J9 feeder-wheel sensor,elapsed_tick_counter,0x0155,"while RB1 feed-motor output is high, increment RAM 0x47:0x46 on each RB0 external interrupt",CR07,high static; RB0 tick engineering timebase not live-measured
2.71,Bixby_0271_080315.hex,J10 exhaust-fan sensor,sample_latch,0x0161,"every 30 RB0 external-interrupt ticks, copy TMR0 to RAM 0x34; overflow becomes 0xFF; clear TMR0",CR05,"high static; reported byte is a pulse count, not a proven RPM value"
2.71,Bixby_0271_080315.hex,J9 feeder-wheel sensor,edge_detector,0x083E,"while RB1 is high, remember RD0 high and flag the following RD0 low transition",CR02 bit 4 / CR07,high static; physical polarity not live-validated
2.71,Bixby_0271_080315.hex,J9 feeder-wheel sensor,period_latch,0x0C29,"on the completed RD0 cycle, copy RAM 0x47:0x46 to 0x45:0x44, bound it, then reset timer and flags",CR07,high static; engineering unit unresolved
2.71,Bixby_0271_080315.hex,J9 feeder-wheel sensor,protocol_scale,0x1290,return the low byte of RAM 0x45:0x44 shifted right four places,CR07,high static transform; wrap/fault semantics unresolved
