signal,protocol_source,encoding,pic_source,evidence,confidence
front-panel buttons,CR01,"none=00, ON=02, OFF=01, UP=04, DOWN=08",RD3 active-low return; RD2 selects the button bank and RD6:RD5 select OFF/ON/UP/DOWN; debounced into RAM 0x53,identical firmware mux scanner in 2.06/2.70/2.71 plus BixCheck AnalyzeInteractiveResult,high static mapping; not live-validated
burn-drive motor limit switch,CR02 bit 0,opposite states; physical polarity not established,RD3 active-high external-input mux return; slot 0 selected by RD7=1 and RD6:RD5=00,firmware mux scanner plus BixCheck plate-motor-off predicate and 9067-0404 board diagram label,high static mapping; not live-validated
unassigned external-input mux slot,CR02 bit 1,logical state only; function and polarity unknown,RD3 active-high external-input mux return; slot 1 selected by RD7=1 and RD6:RD5=01,identical firmware mux scanner in 2.06/2.70/2.71,high transport mapping; physical function unresolved
exhaust-fan sensor (J10),CR05,TMR0 falling-edge count sampled every 30 RB0 external-interrupt ticks; 0xFF denotes counter overflow,RA4/T0CKI -> TMR0 -> RAM 0x34,"identical firmware counter/latch path in 2.06/2.70/2.71, BixCheck exhaust-test CR05 predicates, and 9067-0404 diagram J10 label",high static mapping; engineering conversion and installed-board routing not live-validated
feeder-wheel sensor (J9),CR02 bit 4 and CR07,"RD0 current state in CR02.4; elapsed RB0 ticks for an RD0 high-then-low cycle, shifted right four, in CR07",RD0 edge state; RB1 gates RAM 0x47:0x46 counter; latched in RAM 0x45:0x44,"identical firmware edge/counter path in 2.06/2.70/2.71, BixCheck feeder-test CR07 predicate, and 9067-0404 diagram J9 label","high static mapping; polarity, tick duration, and installed-board routing not live-validated"
firebox door,CR02 bit 5,"open=1, closed=0",RD1,BixCheck checkout mask cross-referenced to firmware/GPIO trace,high offline mapping; not live-validated
ash drawer,CR02 bit 6,"open=1, closed=0",RD4,BixCheck checkout mask cross-referenced to firmware/GPIO trace,high offline mapping; not live-validated
thermostat,CR06 bit 2,open/closed are opposite states,RB4,BixCheck checkout mask cross-referenced to firmware/GPIO trace,high pin/bit mapping; polarity awaits live validation
fuel-select switch,CR02 bit 2,"1=Fuel A/corn, 0=Fuel B/wood",RD3 active-high external-input mux return; slot 2 selected by RD7=1 and RD6:RD5=10,"firmware mux scanner and 0x30 Fuel A/B configuration-bank offset, opposite BixCheck predicates, and 9067-0404 board diagram label",high static mapping and polarity; not live-validated
fan potentiometer,CR09,"low<=03, detent=79..86, high>FB in BixCheck checkout",AN3,BixCheck thresholds plus synthetic ADC differential,high register mapping; ADC channel depends on modeled result
feed potentiometer,CR0A,"low<=03, detent=79..86, high>FB in BixCheck checkout",AN4,BixCheck thresholds plus synthetic ADC differential,high register mapping; ADC channel depends on modeled result
