Line,Qty,References,Category,Value_or_Function,Manufacturer,Manufacturer_Part_Number,Package_or_Footprint,Populate_RevA,Budget_USD_Each,Qualification_Gate,Notes
1,1,U101,Digital isolator,1 forward / 1 reverse default-high reinforced UART isolation,Texas Instruments,ISO7721DWVR,DWV0008A wide-body SOIC-8,YES,2.50,G-ISO,"Verify non-F default-high suffix; exact DWV footprint; isolation geometry and current"
2,1,U102,Logic buffer,Dual non-inverting tri-state buffer with powered-off Ioff,Texas Instruments,SN74LVC2G126DCUR,DCU VSSOP-8,YES,0.80,G-ACTIVE,"Verify crossed Y1/Y2 pin numbering and OE-low high-impedance behavior"
3,1,U103,Voltage supervisor,4.2 V active-low open-drain delayed reset,Texas Instruments,TLV803EA42RDBZR,SOT-23-3 DBZ R-pinout,YES,0.45,G-ACTIVE,"Verify A delay suffix; R pinout; threshold hysteresis and 130-270 ms delay"
4,1,U104,Optocoupler,Low-input-current phototransistor isolated reset,Vishay,VOL618A-3X001T,LSOP-4 option 1,YES,0.75,G-ISO,"Verify CTR grade suffix; pins 1 A 2 K 3 E 4 C; long-creepage footprint"
5,2,F101 F201,Resettable fuse,50 mA hold class 30 V PPTC,Littelfuse,0805L005/30YR,0805,YES,0.60,G-PROTECT,"Verify cold resistance trip current time-temperature curve and derating"
6,1,D301,Diode,Optocoupler LED anti-parallel reverse clamp,Diodes Incorporated,1N4148W-7-F,SOD-123,YES,0.08,G-POLARITY,"Verify pin 1 cathode and anti-parallel orientation"
7,2,R101 R102,Resistor,100 ohm host UART series,TBD,TBD - production gate,0603,YES,0.02,G-PASSIVE,"1 percent preferred; value may become 0 ohm after waveform review"
8,1,R201,Resistor,100 kohm VTGT_AUX discharge,TBD,TBD - production gate,0603,YES,0.02,G-PASSIVE,"Freeze tolerance power rating and temperature range"
9,1,R202,Resistor,10 kohm supervisor output pull-up,TBD,TBD - production gate,0603,YES,0.02,G-PASSIVE,"Check with R203 and U103 sink current"
10,1,R203,Resistor,100 kohm target buffer OE pulldown,TBD,TBD - production gate,0603,YES,0.02,G-PASSIVE,"Recalculate divider and leakage corners with R202"
11,2,R204 R205,Resistor,330 ohm target J3 fault/edge series,TBD,TBD - production gate,0603,YES,0.02,G-PASSIVE,"Verify drive margin and short current at 5 V"
12,1,R206,Resistor,47 kohm target-derived UART idle pull-up,TBD,TBD - production gate,0603,YES,0.02,G-PASSIVE,"Must connect only to VTGT_AUX"
13,1,R301,Resistor,1.5 kohm VOL618A LED current,TBD,TBD - production gate,0603,YES,0.02,G-RESET,"Recalculate from VHOST FTDI VOL LED Vf and minimum CTR"
14,1,R302,Resistor,100 ohm isolated MCLR pull-down branch,TBD,TBD - production gate,0603,YES,0.02,G-RESET,"Only in optocoupler branch before JP301; never in direct VPP path"
15,2,C101 C201,Capacitor,1 uF rail bulk/decoupling,TBD,TBD - production gate,0603 or 0805,YES,0.04,G-PASSIVE,"X7R; freeze voltage and effective capacitance at 5.5 V bias"
16,5,C102 C202 C203 C204 C103,Capacitor,100 nF local decoupling,TBD,TBD - production gate,0603,"C102 C202 C203 C204 YES; C103 DNP unless needed",0.03,G-PASSIVE,"X7R 16 V minimum preferred; place at each powered device"
17,1,J101,Connector,6-position FTDI cable input,JST,S6B-XH-A(LF)(SN),JST XH side-entry THT,YES,0.30,G-CONNECTOR,"Confirm enclosure exit and cable-face pin order"
18,1,J201,Connector,4-position J3 adapter harness,JST,S4B-XH-A(LF)(SN),JST XH side-entry THT,YES,0.25,G-CONNECTOR,"Pin 3 pad deliberate NC with no trace via test pad or pour"
19,1,J202,Connector,5-position main-board J5 adapter harness,JST,S5B-XH-A(LF)(SN),JST XH side-entry THT,YES,0.27,G-CONNECTOR,"Not the stove-end connector; pin 1 marking mandatory"
20,1,J203,Connector,Standard 1x6 PICkit header,Wurth Elektronik,61300611121,2.54 mm straight THT,YES,0.45,G-CONNECTOR,"Pin 6 deliberate NC; verify pin 1 orientation against actual PICkit lead"
21,2,JP201 JP301,Jumper header,1x3 target-power and reset-arm selectors,TBD,TBD - production gate,2.54 mm THT,YES,0.12,G-CONNECTOR,"Select low-profile header with visible pin 1"
22,2,SH201 SH301,Shorting shunt,Retained jumper shunts with distinct colors,TBD,TBD - production gate,2.54 mm shunt,YES,0.08,G-CONNECTOR,"Specify colors and retention; PARK position is normal"
23,1,D101,LED,Optional host power indicator,TBD,TBD - DNP,0603,DNP,0.05,G-OPTIONAL,"Do not count in target current or fitted cost"
24,1,R103,Resistor,Optional host LED resistor 2.2 kohm,TBD,TBD - DNP,0603,DNP,0.02,G-OPTIONAL,"Value depends on selected LED"
25,1,D201,LED,Optional target-ready indicator,TBD,TBD - DNP,0603,DNP,0.05,G-OPTIONAL,"Fit only after target power margin is proven"
26,1,R207,Resistor,Optional target LED resistor 2.2 kohm,TBD,TBD - DNP,0603,DNP,0.02,G-OPTIONAL,"Value depends on selected LED"
27,1,D202,ESD protection,Optional low-capacitance two-line J3 protection,TBD,TBD - DNP,TBD,DNP,0.50,G-OPTIONAL,"No part may be fitted until leakage capacitance clamp and target ground are qualified"
28,14,TP101-TP105 TP201-TP209,PCB test pads,Unfitted exposed copper probe pads,N/A,N/A,1.6 mm nominal round pad,PCB FEATURE,0.00,G-PCB,"Separate host and target banks; no purchased component"
