version,image,request,register,value,semantic,description,evidence,handler_pc,exit_pc,expected_model_status,response,response_hex,handler_seen,exit_seen,steps,reads,writes,watchpoint_changes,net_changes,eeprom_write_events,eeprom_net_changes,error
2.06,Bixby_02060021_Downloader.hex,CW0000,0x00,0x00,service countdown,zero clears the bank-1 service countdown,static,0x1030,0x113D,normal silent exit,,,yes,yes,822,3,3,2,4,0,0,
2.06,Bixby_02060021_Downloader.hex,CW0100,0x01,0x00,persist configuration checksum,recomputes and writes checksum bytes to data EEPROM A00/A01,static plus emulator,0x1036,0x113D,normal silent exit,,,yes,yes,6486,4362,3354,3611,17,2,0,
2.06,Bixby_02060021_Downloader.hex,CW0200,0x02,0x00,telemetry suppression enable,sets the telemetry-suppression flag and loads countdown 0x78,static,0x107B,0x113D,normal silent exit,,,yes,yes,822,2,3,3,6,0,0,
2.06,Bixby_02060021_Downloader.hex,CW0300,0x03,0x00,telemetry suppression disable,clears telemetry suppression and parser scratch bytes,static,0x1080,0x113D,normal silent exit,,,yes,yes,822,2,4,2,4,0,0,
2.06,Bixby_02060021_Downloader.hex,CW04A5,0x04,0xA5,front-panel LEDs,copies value to the LED output routine,BixCheck checkout plus firmware,0x1085,0x113D,normal silent exit,,,yes,yes,1021,140,103,87,12,0,0,
2.06,Bixby_02060021_Downloader.hex,CW0500,0x05,0x00,burn-drive motor,enters the plate/burn-drive motor routine,BixCheck checkout plus firmware,0x108E,0x113D,long actuator path may not return,,,yes,no,50000,32322,21043,19847,18,0,0,handler did not reach silent exit 0x113D within 50000 instructions
2.06,Bixby_02060021_Downloader.hex,CW0600,0x06,0x00,air compressor on,calls the air-compressor-on routine,BixCheck checkout plus firmware,0x1095,0x113D,normal silent exit,,,yes,yes,1053,174,137,124,11,0,0,
2.06,Bixby_02060021_Downloader.hex,CW0700,0x07,0x00,air compressor off,calls the air-compressor-off routine,BixCheck checkout plus firmware,0x109A,0x113D,normal silent exit,,,yes,yes,1085,194,155,143,10,0,0,
2.06,Bixby_02060021_Downloader.hex,CW0832,0x08,0x32,convection fan,copies value to the convection-fan target,BixCheck checkout plus firmware,0x10A1,0x113D,normal silent exit,,,yes,yes,823,4,4,4,5,0,0,
2.06,Bixby_02060021_Downloader.hex,CW0940,0x09,0x40,exhaust fan,scales value through the exhaust phase-control routine,BixCheck checkout plus firmware,0x10A7,0x113D,normal silent exit,,,yes,yes,1458,477,354,321,21,0,0,
2.06,Bixby_02060021_Downloader.hex,CW0A00,0x0A,0x00,igniter follow-up,enters the second igniter follow-up routine,BixCheck checkout plus firmware,0x10C5,0x113D,long actuator path may not return,,,yes,no,50000,32367,21106,19749,18,0,0,handler did not reach silent exit 0x113D within 50000 instructions
2.06,Bixby_02060021_Downloader.hex,CW0B20,0x0B,0x20,feed motor/sensor,uses the high nibble as the feed-test drive parameter,BixCheck checkout plus firmware,0x10D1,0x113D,normal silent exit,,,yes,yes,878,36,28,37,13,0,0,
2.06,Bixby_02060021_Downloader.hex,CW0C00,0x0C,0x00,controller service,runs a service routine and rewrites RAM 0x43 mode bits; exact purpose unresolved,static; purpose unresolved,0x10DF,0x113D,normal silent exit,,,yes,yes,2126,827,529,639,17,0,0,
2.06,Bixby_02060021_Downloader.hex,CW0D00,0x0D,0x00,igniter workflow,"enters igniter workflow, sets countdown 0x82, emits I plus LF",BixCheck checkout plus firmware,0x10ED,0x113D,normal silent exit,I\x0A,49 0A,yes,yes,1341,373,297,266,16,0,0,
2.06,Bixby_02060021_Downloader.hex,CW0E14,0x0E,0x14,remote buttons,stores the value as a synthetic panel-button code,BixCheck tables plus firmware,0x1104,0x113D,normal silent exit,,,yes,yes,828,5,5,5,6,0,0,
2.06,Bixby_02060021_Downloader.hex,CW0F00,0x0F,0x00,reset/loader request,value 0xC4 enters the reset/bootloader path,BixCheck downloader plus firmware,0x110B,0x113D,normal silent exit,,,yes,yes,827,3,1,4,4,0,0,
2.70,Bixby_0270_070206.hex,CW0000,0x00,0x00,service countdown,zero clears the bank-1 service countdown,static,0x113A,0x1232,normal silent exit,,,yes,yes,821,3,3,2,4,0,0,
2.70,Bixby_0270_070206.hex,CW0100,0x01,0x00,persist configuration checksum,recomputes and writes checksum bytes to data EEPROM A00/A01,static plus emulator,0x1140,0x1232,normal silent exit,,,yes,yes,10514,7506,5575,6636,18,2,0,
2.70,Bixby_0270_070206.hex,CW0200,0x02,0x00,telemetry suppression enable,sets the telemetry-suppression flag and loads countdown 0x78,static,0x1185,0x1232,normal silent exit,,,yes,yes,821,2,3,3,6,0,0,
2.70,Bixby_0270_070206.hex,CW0300,0x03,0x00,telemetry suppression disable,clears telemetry suppression and parser scratch bytes,static,0x118A,0x1232,normal silent exit,,,yes,yes,821,2,4,2,4,0,0,
2.70,Bixby_0270_070206.hex,CW04A5,0x04,0xA5,front-panel LEDs,copies value to the LED output routine,BixCheck checkout plus firmware,0x118F,0x1232,normal silent exit,,,yes,yes,1019,140,103,87,12,0,0,
2.70,Bixby_0270_070206.hex,CW0500,0x05,0x00,burn-drive motor,enters the plate/burn-drive motor routine,BixCheck checkout plus firmware,0x1198,0x1232,long actuator path may not return,,,yes,no,50000,32761,21205,19994,20,0,0,handler did not reach silent exit 0x1232 within 50000 instructions
2.70,Bixby_0270_070206.hex,CW0600,0x06,0x00,air compressor on,calls the air-compressor-on routine,BixCheck checkout plus firmware,0x119B,0x1232,normal silent exit,,,yes,yes,1052,174,137,124,11,0,0,
2.70,Bixby_0270_070206.hex,CW0700,0x07,0x00,air compressor off,calls the air-compressor-off routine,BixCheck checkout plus firmware,0x11A0,0x1232,normal silent exit,,,yes,yes,1084,194,155,143,10,0,0,
2.70,Bixby_0270_070206.hex,CW0832,0x08,0x32,convection fan,copies value to the convection-fan target,BixCheck checkout plus firmware,0x11A7,0x1232,normal silent exit,,,yes,yes,822,4,4,4,5,0,0,
2.70,Bixby_0270_070206.hex,CW0940,0x09,0x40,exhaust fan,scales value through the exhaust phase-control routine,BixCheck checkout plus firmware,0x11AD,0x1232,normal silent exit,,,yes,yes,1524,513,385,346,17,0,0,
2.70,Bixby_0270_070206.hex,CW0A00,0x0A,0x00,igniter follow-up,enters the second igniter follow-up routine,BixCheck checkout plus firmware,0x11CB,0x1232,long actuator path may not return,,,yes,no,50000,32811,21258,19885,17,0,0,handler did not reach silent exit 0x1232 within 50000 instructions
2.70,Bixby_0270_070206.hex,CW0B20,0x0B,0x20,feed motor/sensor,uses the high nibble as the feed-test drive parameter,BixCheck checkout plus firmware,0x11D3,0x1232,normal silent exit,,,yes,yes,873,33,28,34,13,0,0,
2.70,Bixby_0270_070206.hex,CW0C00,0x0C,0x00,controller service,runs a service routine and rewrites RAM 0x43 mode bits; exact purpose unresolved,static; purpose unresolved,0x11E1,0x1232,normal silent exit,,,yes,yes,2148,843,544,656,21,0,0,
2.70,Bixby_0270_070206.hex,CW0D00,0x0D,0x00,igniter workflow,"enters igniter workflow, sets countdown 0x82, emits I plus LF",BixCheck checkout plus firmware,0x11ED,0x1232,normal silent exit,I\x0A,49 0A,yes,yes,1334,369,293,261,16,0,0,
2.70,Bixby_0270_070206.hex,CW0E14,0x0E,0x14,remote buttons,stores the value as a synthetic panel-button code,BixCheck tables plus firmware,0x11FE,0x1232,normal silent exit,,,yes,yes,827,5,5,5,6,0,0,
2.70,Bixby_0270_070206.hex,CW0F00,0x0F,0x00,reset/loader request,value 0xC4 enters the reset/bootloader path,BixCheck downloader plus firmware,0x1205,0x1232,normal silent exit,,,yes,yes,826,3,1,4,4,0,0,
2.71,Bixby_0271_080315.hex,CW0000,0x00,0x00,service countdown,zero clears the bank-1 service countdown,static,0x1110,0x120C,normal silent exit,,,yes,yes,821,3,3,2,4,0,0,
2.71,Bixby_0271_080315.hex,CW0100,0x01,0x00,persist configuration checksum,recomputes and writes checksum bytes to data EEPROM A00/A01,static plus emulator,0x1116,0x120C,normal silent exit,,,yes,yes,10514,7506,5575,6636,18,2,0,
2.71,Bixby_0271_080315.hex,CW0200,0x02,0x00,telemetry suppression enable,sets the telemetry-suppression flag and loads countdown 0x78,static,0x115B,0x120C,normal silent exit,,,yes,yes,821,2,3,3,6,0,0,
2.71,Bixby_0271_080315.hex,CW0300,0x03,0x00,telemetry suppression disable,clears telemetry suppression and parser scratch bytes,static,0x1160,0x120C,normal silent exit,,,yes,yes,821,2,4,2,4,0,0,
2.71,Bixby_0271_080315.hex,CW04A5,0x04,0xA5,front-panel LEDs,copies value to the LED output routine,BixCheck checkout plus firmware,0x1165,0x120C,normal silent exit,,,yes,yes,1019,140,103,88,12,0,0,
2.71,Bixby_0271_080315.hex,CW0500,0x05,0x00,burn-drive motor,enters the plate/burn-drive motor routine,BixCheck checkout plus firmware,0x116E,0x120C,long actuator path may not return,,,yes,no,50000,32761,21205,19993,20,0,0,handler did not reach silent exit 0x120C within 50000 instructions
2.71,Bixby_0271_080315.hex,CW0600,0x06,0x00,air compressor on,calls the air-compressor-on routine,BixCheck checkout plus firmware,0x1171,0x120C,normal silent exit,,,yes,yes,1052,174,137,125,11,0,0,
2.71,Bixby_0271_080315.hex,CW0700,0x07,0x00,air compressor off,calls the air-compressor-off routine,BixCheck checkout plus firmware,0x1176,0x120C,normal silent exit,,,yes,yes,1084,194,155,142,10,0,0,
2.71,Bixby_0271_080315.hex,CW0832,0x08,0x32,convection fan,copies value to the convection-fan target,BixCheck checkout plus firmware,0x117D,0x120C,normal silent exit,,,yes,yes,822,4,4,4,5,0,0,
2.71,Bixby_0271_080315.hex,CW0940,0x09,0x40,exhaust fan,scales value through the exhaust phase-control routine,BixCheck checkout plus firmware,0x1183,0x120C,normal silent exit,,,yes,yes,1524,513,385,347,17,0,0,
2.71,Bixby_0271_080315.hex,CW0A00,0x0A,0x00,igniter follow-up,enters the second igniter follow-up routine,BixCheck checkout plus firmware,0x11A1,0x120C,long actuator path may not return,,,yes,no,50000,32811,21258,19886,17,0,0,handler did not reach silent exit 0x120C within 50000 instructions
2.71,Bixby_0271_080315.hex,CW0B20,0x0B,0x20,feed motor/sensor,uses the high nibble as the feed-test drive parameter,BixCheck checkout plus firmware,0x11A9,0x120C,normal silent exit,,,yes,yes,873,33,28,35,13,0,0,
2.71,Bixby_0271_080315.hex,CW0C00,0x0C,0x00,controller service,runs a service routine and rewrites RAM 0x43 mode bits; exact purpose unresolved,static; purpose unresolved,0x11B7,0x120C,normal silent exit,,,yes,yes,2148,843,544,655,21,0,0,
2.71,Bixby_0271_080315.hex,CW0D00,0x0D,0x00,igniter workflow,"enters igniter workflow, sets countdown 0x82, emits I plus LF",BixCheck checkout plus firmware,0x11C3,0x120C,normal silent exit,I\x0A,49 0A,yes,yes,1338,373,297,266,16,0,0,
2.71,Bixby_0271_080315.hex,CW0E14,0x0E,0x14,remote buttons,stores the value as a synthetic panel-button code,BixCheck tables plus firmware,0x11D8,0x120C,normal silent exit,,,yes,yes,827,5,5,5,6,0,0,
2.71,Bixby_0271_080315.hex,CW0F00,0x0F,0x00,reset/loader request,value 0xC4 enters the reset/bootloader path,BixCheck downloader plus firmware,0x11DF,0x120C,normal silent exit,,,yes,yes,826,3,1,4,4,0,0,
